CASE_NUM,CRIME_DESC,CHARGE_CODE,CHARGE_DESC,CRIME_PART,ADDRESS,CITY,DATE,CATEGORY,POINT_X,POINT_Y
211000828,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,2304,LARCENY - PARTS & ACCESSORIES FROM VEHICLE - LFA,A,1800 BLOCK LAKE LILA LN,ANN ARBOR,2021-12-12 04:32:30,LARCENY - FROM AUTO (LFA),-83.71819939899996,42.30036370000005
210046519,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,2304,LARCENY - PARTS & ACCESSORIES FROM VEHICLE - LFA,A,2400 BLOCK ARROWWOOD TRAIL,ANN ARBOR,2021-12-12 01:30:00,LARCENY - FROM AUTO (LFA),-83.73293870099997,42.307191300000056
211000832,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,2304,LARCENY - PARTS & ACCESSORIES FROM VEHICLE - LFA,A,800 BLOCK JONES DR,ANN ARBOR,2021-12-14 04:00:00,LARCENY - FROM AUTO (LFA),-83.73529309899999,42.291409101000056
210046624,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,2602,FRAUD - SWINDLE,A,1100 BLOCK MOREHEAD CT,ANN ARBOR,2021-12-15 08:00:00,FRAUD,-83.75865109899996,42.25147720000007
210046723,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,W LIBERTY ST & S ASHLEY ST,ANN ARBOR,2021-12-16 03:15:00,LARCENY - ALL OTHER,-83.74985169999997,42.27961910000005
210046805,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,3100 BLOCK BOARDWALK DR,ANN ARBOR,2021-12-16 20:15:00,DAMAGE TO PROPERTY,-83.73610039999994,42.24170810000004
210046675,ALL OTHER,5015,FAILURE TO APPEAR (FTA),B,300 BLOCK W HURON ST,ANN ARBOR,2021-12-16 02:39:00,OBSTRUCTING JUSTICE,-83.75166069999995,42.28180800000007
210046647,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,100 BLOCK S FOURTH AVE,ANN ARBOR,2021-12-15 20:06:00,ASSAULT - SIMPLE,-83.74755310099994,42.28116220000004
210046553,BURGLARY/BREAKING & ENTERING,2203,B&E - BURGLARY - FORCED ENTRY - NON-RESIDENCE,A,3400 BLOCK WASHTENAW AVE,ANN ARBOR,2021-12-15 03:55:00,BURGLARY - ALL OTHER,-83.69139909999996,42.25548229900005
210046650,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,300 BLOCK ROLLING MEADOWS DR,ANN ARBOR,2021-12-15 21:00:00,ASSAULT - SIMPLE,-83.75392919999996,42.250033700000074
